coustomer_key,name,contact_no,nid,address,street,upazila,district,division
C000001,sumit,+8801515144884,6491793280720,"6/C,16\6, Pallabi,Dhaka","6/C,16\6",Pallabi,Dhaka,Dhaka
C000002,tammanne,+8801863000088,7049687598580,"House-08, Road-10/A, Sec-09, Uttara","House-08, Road-10/A, Sec-09",Uttara,Dhaka,Dhaka
C000003,kailash kumar,+8801835105915,9274122755055," New Eskaton Road,Dhaka-1000", New Eskaton Road,Mogbazar,Dhaka,Dhaka
C000004,bhagwati prasad,+8801661796843,8287869731779,"Janata Housing, Agargaon, Shere-E-Bangla Nagar.",Janata Housing,Agargaon,Dhaka,Dhaka
C000005,ajay,+8801575737517,8257103076928,"Palli Bidhut, Nabi Nagor, Savar",Palli Bidhut,Savar,Dhaka,Dhaka
C000006,silender,+8801790072164,9444651878876,"House-9, Naveana Garden. Kallyanpur, Mirpur, Dhaka","House-9, Naveana Garden. Kallyanpur",Mirpur-1,Dhaka,Dhaka
C000007,deepak,+8801685568710,5451307347323,"220 West Dhanmondi, Rd-19 (Old), 10/A (New), Dhaka-1209","220 West Dhanmondi, Rd-19 (Old), 10/A (New)",Dhanmondi,Dhaka,Dhaka
C000008,akhilesh,+8801821641070,8198386228233,"Block-E, Road-06 4th Floor Bashundhara R/A, Dhaka","Block-E, Road-06 4th Floor Bashundhara R/A",Bashundhara R/A,Dhaka,Dhaka
C000009,dipendra kumar,+8801774691570,3051263158639,South Keranigong,South Keranigong,Keranigong,Dhaka,Dhaka
C000010,nitin,+8801628292067,2134375530863,"Rurual Development Officer, BRDB Gournadi, Barishal","Rurual Development Officer, BRDB Gournadi",Gournadi,Barishal,Barishal
C000011,doodhnath pandit,+8801862667619,3535909140833,"Janata Housing, Agargaon, Shere-E-Bangla Nagar.",Janata Housing,Agargaon,Dhaka,Dhaka
C000012,aslam allam,+8801564676639,9439661880352,"6/C,16\6, Pallabi,Dhaka","6/C,16\6",Pallabi,Dhaka,Dhaka
C000013,rahul,+8801842174907,6285466607792,"Block-E, Road-06 4th Floor Bashundhara R/A, Dhaka","Block-E, Road-06 4th Floor Bashundhara R/A",Bashundhara R/A,Dhaka,Dhaka
C000014,jitender kumar,+8801827735666,8938516104355,"183 Senpara Parbota, Mirpur-10, Dhaka-1216",183 Senpara Parbota,Mirpur-10,Dhaka,Dhaka
C000015,adnan,+8801889882144,6831722998307,"Farmgate ,Dhaka",,Farmgate,Dhaka,Dhaka
C000016,vijay,+8801655484834,2785939632963,"183 Senpara Parbota, Mirpur-10, Dhaka-1216",183 Senpara Parbota,Mirpur-10,Dhaka,Dhaka
C000017,yogesh,+8801550260698,8114255591150,"Bishwanath, Sylhet",Bishwanath,Bishwanath,Sylhet,Sylhet
C000018,kabir,+8801614971683,2040918710605,"Rurual Development Officer, BRDB Gournadi, Barishal","Rurual Development Officer, BRDB Gournadi",Gournadi,Barishal,Barishal
C000019,sarvesh,+8801994278215,5355293366009,"687, Adabor, Dhaka.","687, Adabor",Mohammadpur,Dhaka,Dhaka
C000020,rakesh sarkar,+8801882139274,6209120844430,"183 Senpara Parbota, Mirpur-10, Dhaka-1216",183 Senpara Parbota,Mirpur-10,Dhaka,Dhaka
C000021,akash gupta,+8801696354922,7039517965862,"Bishwanath, Sylhet",Bishwanath,Bishwanath,Sylhet,Sylhet
C000022,rahul,+8801646160834,2575332915993,"Kasba, Kharpara, B.Baria",Kasba,Kharpara,B.Baria,Chittagong
C000023,pintu thakur,+8801618159024,8466160119616,"Bishwanath, Sylhet",Bishwanath,Bishwanath,Sylhet,Sylhet
C000024,vivek,+8801633455294,7133637687131,"Palli Bidhut, Nabi Nagor, Savar",Palli Bidhut,Savar,Dhaka,Dhaka
C000025,mohd khairul,+8801765413248,1747809053744,Chadpur,Chadpur,Chadpur,Chadpur,Chittagong
C000026,farmaan khan,+8801693704269,8193322750424,"Kasba, Kharpara, B.Baria",Kasba,Kharpara,B.Baria,Chittagong
C000027,vansu dev,+8801791056948,6622680761678," New Eskaton Road,Dhaka-1000", New Eskaton Road,Mogbazar,Dhaka,Dhaka
